epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,592.754,1.41179,2.74672,1.88974,0.57761,0.58041,0.5808,0.25961,1.78638,4.11743,2.88691,0.000330667,0.000330667,0.000330667
2,1181.05,1.30901,1.91797,1.76114,0.63234,0.66274,0.67325,0.29372,1.87766,2.36728,2.88014,0.000657426,0.000657426,0.000657426
3,1768.16,1.27543,1.68509,1.73248,0.67514,0.63406,0.69388,0.36369,1.75989,1.94552,2.70603,0.000977586,0.000977586,0.000977586
4,2358.43,1.26536,1.57617,1.70898,0.56948,0.65958,0.67497,0.31223,1.73254,2.06179,2.54012,0.0009703,0.0009703,0.0009703
5,2945.96,1.22205,1.46873,1.67077,0.79112,0.74532,0.83381,0.47703,1.48288,1.39165,2.21759,0.0009604,0.0009604,0.0009604
6,3532.73,1.18797,1.3636,1.62837,0.71914,0.70584,0.7632,0.45691,1.31984,1.3636,1.92782,0.0009505,0.0009505,0.0009505
7,4118.86,1.17991,1.27809,1.61033,0.60856,0.59188,0.6711,0.32411,1.76097,2.24583,2.60916,0.0009406,0.0009406,0.0009406
8,4707.46,1.17628,1.21851,1.61157,0.8054,0.80496,0.85868,0.55459,1.28555,1.05912,1.9134,0.0009307,0.0009307,0.0009307
9,5295.69,1.15782,1.23261,1.60122,0.64371,0.70289,0.73406,0.36287,1.89037,1.39326,3.06602,0.0009208,0.0009208,0.0009208
10,5885.63,1.11255,1.14866,1.56895,0.8029,0.83611,0.86297,0.53429,1.38553,1.04925,1.95742,0.0009109,0.0009109,0.0009109
11,6468.51,1.12754,1.1548,1.5785,0.79001,0.79589,0.83024,0.56712,1.23601,1.12237,1.84653,0.000901,0.000901,0.000901
12,7055.01,1.09691,1.08993,1.5543,0.89753,0.85428,0.90077,0.50834,1.51368,0.92341,2.28321,0.0008911,0.0008911,0.0008911
13,7640.99,1.07791,1.08851,1.53825,0.7649,0.76662,0.83218,0.56141,1.19413,1.1071,1.79112,0.0008812,0.0008812,0.0008812
14,8226.35,1.06179,1.03838,1.51795,0.83792,0.76244,0.88436,0.55689,1.24068,1.01092,1.82314,0.0008713,0.0008713,0.0008713
15,8814.49,1.06935,1.01446,1.52173,0.88975,0.84262,0.89991,0.52131,1.48594,0.87475,2.27525,0.0008614,0.0008614,0.0008614
16,9394.8,1.05813,1.00846,1.50766,0.79349,0.82633,0.86501,0.55535,1.26469,0.94424,1.85449,0.0008515,0.0008515,0.0008515
17,9972.39,1.03682,0.97477,1.49742,0.84058,0.83944,0.89386,0.6174,1.12957,0.80571,1.6888,0.0008416,0.0008416,0.0008416
18,10557.1,1.01584,0.96845,1.48817,0.84117,0.83703,0.88775,0.62313,1.15001,0.79681,1.75892,0.0008317,0.0008317,0.0008317
19,11137.8,0.99819,0.94396,1.47457,0.83431,0.81249,0.86722,0.554,1.3677,0.85807,2.01113,0.0008218,0.0008218,0.0008218
20,11720.5,1.00233,0.95275,1.47178,0.84558,0.80775,0.8698,0.45075,1.74007,0.91102,2.68221,0.0008119,0.0008119,0.0008119
21,12298.5,1.01512,0.94592,1.47832,0.82904,0.90519,0.91352,0.61815,1.15908,0.74396,1.78295,0.000802,0.000802,0.000802
22,12884.1,1.00204,0.92769,1.46839,0.86851,0.838,0.8973,0.61871,1.15872,0.80462,1.76034,0.0007921,0.0007921,0.0007921
23,13468.4,0.98801,0.92475,1.45261,0.82145,0.86051,0.88275,0.62213,1.08728,0.74405,1.66609,0.0007822,0.0007822,0.0007822
24,14052.8,0.98636,0.9149,1.46501,0.86345,0.8681,0.91003,0.6421,1.08131,0.70099,1.6529,0.0007723,0.0007723,0.0007723
25,14636.9,0.97178,0.88631,1.44908,0.9024,0.85074,0.91494,0.63289,1.1452,0.70677,1.72301,0.0007624,0.0007624,0.0007624
26,15292.4,0.96431,0.85805,1.43294,0.86515,0.83675,0.90122,0.63583,1.08188,0.78449,1.66085,0.0007525,0.0007525,0.0007525
27,15996.4,0.94657,0.8335,1.4138,0.87336,0.88376,0.92869,0.63683,1.10832,0.69317,1.65894,0.0007426,0.0007426,0.0007426
28,16820.8,0.96718,0.85085,1.4383,0.84453,0.84813,0.91237,0.61651,1.17819,0.78306,1.74902,0.0007327,0.0007327,0.0007327
