epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.31,1.39989,2.71372,1.87583,0.49007,0.67599,0.62252,0.32438,1.70703,3.16886,2.62228,0.000330667,0.000330667,0.000330667
2,1171.2,1.31596,1.89975,1.77856,0.44375,0.43139,0.39395,0.21194,1.55537,2.96698,2.21296,0.000657426,0.000657426,0.000657426
3,1762.78,1.28449,1.70673,1.73934,0.61758,0.58263,0.61318,0.31144,1.64771,2.06314,2.487,0.000977586,0.000977586,0.000977586
4,2353.21,1.24921,1.58078,1.70062,0.58511,0.59729,0.62223,0.33377,1.57266,1.81895,2.33224,0.0009703,0.0009703,0.0009703
5,2948.2,1.22757,1.46061,1.67585,0.58178,0.69668,0.70295,0.31599,1.98677,1.81852,3.09779,0.0009604,0.0009604,0.0009604
6,3539.49,1.20995,1.36483,1.65052,0.70154,0.76171,0.79498,0.4797,1.38021,1.36795,2.08039,0.0009505,0.0009505,0.0009505
7,4134,1.17342,1.31478,1.62783,0.71238,0.69935,0.77858,0.40686,1.66103,1.45169,2.38916,0.0009406,0.0009406,0.0009406
8,4729.15,1.15577,1.24619,1.61035,0.63558,0.72344,0.76715,0.48882,1.31284,1.3268,1.97495,0.0009307,0.0009307,0.0009307
9,5325.15,1.1262,1.21681,1.58149,0.81878,0.74637,0.83569,0.5417,1.28923,1.07846,1.91316,0.0009208,0.0009208,0.0009208
10,5919.64,1.12599,1.16294,1.57841,0.72496,0.80529,0.83794,0.5407,1.22613,1.13802,1.85493,0.0009109,0.0009109,0.0009109
11,6515.54,1.12477,1.14721,1.57929,0.71656,0.72849,0.80773,0.50729,1.34346,1.10045,1.96391,0.000901,0.000901,0.000901
12,7304.85,1.07933,1.12224,1.5485,0.83299,0.83661,0.87576,0.50318,1.45641,0.97147,2.15224,0.0008911,0.0008911,0.0008911
13,8268.54,1.06775,1.06753,1.53922,0.77516,0.79687,0.85503,0.54288,1.24338,1.0665,1.84266,0.0008812,0.0008812,0.0008812
14,8899.76,1.06669,1.0664,1.51628,0.81273,0.81468,0.84452,0.53303,1.24858,1.05301,1.83315,0.0008713,0.0008713,0.0008713
15,9649.78,1.05544,1.02694,1.51942,0.82376,0.86406,0.89393,0.62778,1.09608,0.82522,1.67649,0.0008614,0.0008614,0.0008614
16,10305.3,1.03345,0.99622,1.49805,0.83421,0.88351,0.9081,0.60851,1.20425,0.78475,1.78067,0.0008515,0.0008515,0.0008515
17,10967.5,1.03249,0.9932,1.49317,0.90529,0.82455,0.90578,0.61185,1.16459,0.81856,1.74998,0.0008416,0.0008416,0.0008416
18,12074.3,1.02743,0.99388,1.49168,0.84706,0.83412,0.86487,0.55084,1.36222,0.81816,2.00703,0.0008317,0.0008317,0.0008317
19,12795.6,0.99328,0.94956,1.47113,0.81987,0.82879,0.90014,0.62979,1.10294,0.85822,1.66862,0.0008218,0.0008218,0.0008218
20,13382.2,1.00447,0.9195,1.46923,0.8203,0.90066,0.90698,0.62749,1.15026,0.74284,1.75713,0.0008119,0.0008119,0.0008119
21,13957.1,0.97422,0.90386,1.44963,0.82515,0.83327,0.88588,0.58914,1.2076,0.81337,1.81287,0.000802,0.000802,0.000802
22,14533.6,0.97699,0.89305,1.44798,0.85486,0.83609,0.89957,0.63494,1.08728,0.76909,1.66613,0.0007921,0.0007921,0.0007921
23,15112.5,0.99052,0.91128,1.46889,0.88888,0.85795,0.91148,0.57652,1.27299,0.76722,1.90944,0.0007822,0.0007822,0.0007822
24,16220,0.97001,0.87961,1.44313,0.8329,0.85762,0.90808,0.60676,1.21741,0.76158,1.82603,0.0007723,0.0007723,0.0007723
25,17908,0.96547,0.88202,1.44404,0.84366,0.9182,0.92821,0.63446,1.13125,0.74411,1.68927,0.0007624,0.0007624,0.0007624
26,19469.7,0.94925,0.862,1.42503,0.8482,0.78379,0.89064,0.60524,1.16423,0.9883,1.72703,0.0007525,0.0007525,0.0007525
27,21031.5,0.93308,0.8223,1.40392,0.83193,0.86608,0.88914,0.61642,1.16478,0.77302,1.74443,0.0007426,0.0007426,0.0007426
28,22589.6,0.95759,0.84403,1.43,0.85821,0.86373,0.90295,0.58373,1.28242,0.77415,1.90243,0.0007327,0.0007327,0.0007327
29,24157.4,0.95063,0.82637,1.42829,0.90228,0.85037,0.91664,0.64765,1.04146,0.66012,1.613,0.0007228,0.0007228,0.0007228
30,25718.2,0.93391,0.80075,1.41986,0.85162,0.85748,0.89955,0.60047,1.15226,0.81722,1.72846,0.0007129,0.0007129,0.0007129
